42,Kristian Fulton,Jordan Love,Prince Tega Wanogho,Terrell Lewis,Brandon Aiyuk,Damon Arnette,KJ Hamler,AJ Terrell,Isaiah Wilson,Jonathan Taylor,Zack Baun,Kristian Fulton,Laviska Shenault,Neville Gallimore,Laviska Shenault ,Noah Igbinoghene,D'Andre Swift
43,Grant Delpit,Damon Arnette,Cole Kmet,Grant Delpit,Trevon Diggs,Cesar Ruiz,Lucas Niang,Bryce Hall,Solomon Kindley,Jalen Reagor,Josh Jones,Robert Hunt,Damon Arnette,Grant Delpit,Jeff Gladney,Jeremy Chinn,Cole Kmet
44,Ezra Cleveland,Brycen Hopkins,Laviska Shenault,Cole Kmet,Jonathan Taylor,Cole Kmet,Marlon Davidson,Noah Igbinoghene,John Simpson,Michael Pittman JR,Yetur Gross-Matos,Tee Higgins,Terrell Lewis,Robert Hunt ,D'Andre Swift,Ross Blacklock,Tee Higgins
45,D'Andre Swift,Clyde Edwards-Helaire,Isaiah Wilson,JK Dobbins,Ben Bartch,JK Dobbins,Grant Delpit,Marlon Davidson,Kyle Dugger,D'Andre Swift,JK Dobbins,Clyde Edwards-Helaire,Jeremy Chinn,D'Andre Swift,Trevon Diggs,D'Andre Swift,Clyde Edwards-Helaire
46,AJ Epenesa,Cesar Ruiz,KJ Hamler,Jordan Elliott,Kyle Dugger,Ezra Cleveland,Laviska Shenault,KJ Hamler,Lloyd Cushenberry,A.J. Terrell,Isaiah Wilson,Laviska Shenault,Ezra Cleveland,Austin Jackson,Lucas Niang,Jalen Reagor,Matt Peart
47,Marlon Davidson,Ross Blacklock,Justin Madubuike,Clyde Edwards-Helaire,Zack Baun,Cameron Dantzler,Terrell Lewis,D'Andre Swift,Jeff Gladney,Cole Kmet,Terrell Lewis,Noah Igbinoghene,Prince Tega Wanogho,Noah Igbinoghene,Antoine Winfield,Terrell Lewis,Jordyn Brooks
48,Justin Madubuike,Lucas Niang,Tee Higgins,Michael Pittman,Laviska Shenault,Jalen Reagor,Trevon Diggs,Amik Robertson,Tee Higgins,Kristian Fulton,Matt Peart,Denzel Mims,Brandon Aiyuk,Jalen Reagor,KJ Hamler,Michael Pittman,Josh Uche
49,Bradlee Anae,Jalen Hurts,Rashard Lawrence,Jonathan Taylor,Neville Gallimore,Terrell Lewis,Jonathan Taylor,Raekwon Davis,Neville Gallimore,Jake Fromm,KJ Hamler,Jordan Elliott,Neville Gallimore,Jonathan Taylor,Jonah Jackson,Justin Madubuike,Justin Madubuike
50,Brycen Hopkins,Lloyd Cushenberry,Damon Arnette,Raekwon Davis,Antoine Winfield,Jeremy Chinn,Damon Arnette,Kyle Dugger,Bryce Hall,Jeremy Chinn,AJ Terrell,Ashtyn Davis,John Simpson,Jacob Eason,Kyle Dugger,Robert Hunt,Bryce Hall
51,KJ Hamler,Cameron Dantzler,Kyle Dugger,KJ Hamler,KJ Hamler,Julian Okwara,Curtis Weaver,Grant Delpit,Zack Baun,Jaylon Johnson,Curtis Weaver,Cole Kmet,Cameron Dantzler,Kyle Dugger,Julian Okwara,Grant Delpit,Noah Igbinoghene
